"Id","NIF__c","Name","BillingStreet","BillingCity","BillingPostalCode","BillingCountryCode"
"0012400000yDPf5AAG","509598463","SOLUÇÕES EXTENSAS INFORMÁTICA E TECNOLOGIAS CONVERGENTES UNIPESSOAL, LDA","RUA INÁCIO DUARTE, 39A - ALTO DOS BARRONHOS","CARNAXIDE","2790-226","PT"
"0012400000yAgPlAAK","506318028","MICRODI - DISTRIBUIÇÃO DE PRODUTOS INFORMÁTICOS, LDA","RUA EÇA DE QUEIRÓS, 135, EDIFÍCIO CLASSE","VIANA DO CASTELO","4900-432","PT"
"0012400000yBU1uAAG","507819306","HYDRA IT - TECNOLOGIAS DE INFORMAÇÃO E CONTEÚDOS, LDA","AVENIDA ROBERT SMITH, 31 - CENTRO DE SERVIÇOS DOMUS QUALITAS","BRAGA","4715-249","PT"
"0012400000stGLkAAM","502262184","TEPREL - EQUIPAMENTOS MÉDICOS, S.A.","RUA DOM MARCOS DA CRUZ, 1997 1ºESQ./POENTE","PERAFITA","4455-482","PT"
"0012400000w2YpfAAE","503455075","AMBIPROSE - PRODUTOS, SERVIÇOS, SEGURANÇA E AMBIENTE, LDA","AVENIDA JOSÉ FRANCISCO GUERREIRO, PAIÃ PARK PAVILHÃO A2.14","PONTINHA","1675-078","PT"
"0012400000w2veLAAQ","503149527","MHD - SERVIÇOS E SISTEMAS INFORMÁTICOS, LDA","RUA BERNARDO LIMA, 44A","LISBOA","1150-077","PT"
"0012400000xgSAmAAM","504914685","TECHFRAME - SISTEMAS DE INFORMAÇÃO, S.A.","RUA DOUTOR MANUEL DE ARRIAGA, 55 5º","PAREDE","2775-004","PT"
"0012400000stU77AAE","502681276","TRILOGIA - INFORMÁTICA, TELECOMUNICAÇÕES E SERVIÇOS, LDA","RUA CERÂMICA DO VOUGA, 15 2ºL","AVEIRO","3800-011","PT"
"0012400000sspPpAAI","501472657","CASO - CONSULTORES ASSOCIADOS DE ORGANIZAÇÕES E INFORMÁTICA, LDA","RUA CIDADE DO PORTO, 80","BRAGA","4705-084","PT"
"0012400000w24pPAAQ","510038050","YEABBLE, LDA","RUA DO VALADO, 182A LOJA 7","SÃO PAIO DE OLEIROS","4535-475","PT"
"0012400000stRa0AAE","501954295","DBG - GABINETE DE APLICAÇÕES INFORMÁTICAS, LDA","RUA ANTÓNIO DOS SANTOS COELHO, 13A","AMADORA","2700-091","PT"
"0012400000w1N1MAAU","508668140","GNOTUS - SISTEMAS E TECNOLOGIAS DE INFORMAÇÃO, LDA","BREIA, 139 CAIXA 121","ABADE DE NEIVA","4750-004","PT"
"0012400000ssDFGAA2","503244465","PEDRALÓGICA - NOVAS TECNOLOGIAS, LDA","AVENIDA DA IGREJA, 34","BENEDITA","2475-100","PT"
"0012400000w1L8cAAE","509910300","X4DEV BUSINESS SOLUTIONS, S.A.","SÍTIO DO SEMINO","SEMINO","8125-303","PT"
"0012400000w1N9kAAE","502787392","XESEQUIPA - EQUIPAMENTOS E SERVIÇOS, LDA","RUA REITOR TEIXEIRA GUEDES, 35","FARO","8000-422","PT"
"0012400000w1Q2cAAE","507044274","PCLINK - TECNOLOGIAS E SISTEMAS DE INFORMAÇÃO, UNIPESSOAL, LDA","RUA ANTONIO JOSÉ BATISTA, 3 3ºC FTE.","SETÚBAL","2910-399","PT"
"0012400000yAcXLAA0","505905035","DOCTRON - SISTEMAS DE INFORMAÇÃO, LDA","RUA DOUTOR JOAQUIM MEIRA, 233 1º","GUIMARÃES","4800-010","PT"
"0012400000stVAyAAM","502339543","SOFTINGAL - SOFTWARE AND CONSULTING, LDA","RUA ÁLVARO CASTELÕES, 754 SALA AM","MATOSINHOS","4450-040","PT"
"0012400000yC1gtAAC","507470222","GESTO FINAL - SERVIÇOS DE INFORMÁTICA, UNIPESSOAL, LDA","TRAVESSA BARROSA, 225 11ºC","VILA NOVA DE GAIA","4400-042","PT"
"0012400000zbJ4UAAU","509224075","DOITLEAN, S.A.","RUA PROFESSOR EDUARDO CORTESÃO, 18 1ºDTO.","LISBOA","1600-615","PT"
"0012400000w1QvXAAU","508311667","HITSCENTRO - TECNOLOGIAS DE INFORMAÇÃO, LDA","AVENIDA TOMÁS RIBEIRO, 131 ESCRITÓRIO 10","LINDA-A-PASTORA","2790-466","PT"
"0012400000yBT4yAAG","507894987","COMPUNET - INFORMÁTICA E SERVIÇOS, LDA","RUA DOS BOMBEIROS, 99","VILA VERDE","4730-752","PT"
"0012400000yBtlXAAS","504422529","RAVIOL - ESTUDOS E CONSTRUÇÃO DE EQUIPAMENTOS DE GARAGEM, LDA","FIAL","PALMEIRA","4780-346","PT"
"0012400000ssDIFAA2","501643516","FERNANDO PINTO BRANDÃO & FILHOS, LDA","AVENIDA 25 DE ABRIL, 34","SANTA MARIA DA FEIRA","4520-161","PT"
"0012400000yBJ6rAAG","503419710","SEBASI - SISTEMAS DE INFORMAÇÃO, S.A.","ALAMEDA DOM AFONSO HENRIQUES, 41 1ºESQ.","LISBOA","1000-123","PT"
"0012400000w1KTmAAM","504230158","MUNDICES - COMPUTADORES, EQUIPAMENTOS E SERVIÇOS, LDA","AVENIDA DE ITÁLIA, 6 2 C/V LOJA 2","CASAL DE CAMBRA","2605-791","PT"
"0012400000yCRTjAAO","505622670","ASTUTO SOFTWARE - SOCIEDADE UNIPESSOAL, LDA","RUA DOUTOR MAGALHÃES LIMA, 23","CARREGAL DO SAL","3430-064","PT"
"0012400000yBJnuAAG","504820370","VIEW - DESIGN E CONSULTORIA DE COMUNICAÇÃO, S.A.","RUA GENERAL FIRMINO MIGUEL, 3 5ºA - TORRE 2","LISBOA","1600-100","PT"
"0012400000yBKWqAAO","502659076","ALCANCE - BUSINESS SOLUTIONS, LDA","AVENIDA PROFESSOR DOUTOR EGAS MONIZ, 17 R/C DTO., MASSAMA","QUELUZ","2745-764","PT"
"0012400000yBKXeAAO","504825917","WITHUS - INOVAÇÃO E TECNOLOGIA, LDA","RUA DOUTOR MÁRIO SACRAMENTO, 1 1ºQ - EDIFÍCIO COLOMBO","AVEIRO","3810-105","PT"
"0012400000yCbK0AAK","505281376","TVLAB - SERVIÇOS E EQUIPAMENTOS INTERACTIVOS, S.A.","AVENIDA DOM JOÃO II, 34","LISBOA","1998-031","PT"
"0012400000w1L2mAAE","510121381","BLUE AIM - ADVANCED MANAGEMENT INFORMATION SYSTEMS, LDA","RUA SALAZARES, 842","PORTO","4149-002","PT"
"0012400000w1LExAAM","502588586","AUTOMATA, EQUIPAMENTOS DE ESCRITÓRIO, LDA","FUNDO DA VILA, BLOCO I LOJA ESQ","PEDRÓGÃO GRANDE","3270-999","PT"
"0012400000w1LaEAAU","501838147","APLEIN-ENGENHEIROS - APLICAÇÕES ELECTRÓNICAS INDUSTRIAIS, LDA","RUA AFONSO DE ALBUQUERQUE, LOTE 1B LOJA ESQ.","SACAVÉM","2685-013","PT"
"0012400000w2SMpAAM","508455006","REDITUS BUSINESS SECURITY, S.A.","RUA PEDRO NUNES, 11 R/C","LISBOA","1050-169","PT"
"0012400000yBU5wAAG","507798791","F5 IT - TECNOLOGIAS DE INFORMAÇÃO, LDA","RUA FREDERICO GEORGE, 39 2ºB - ALTO DA FAIA","LISBOA","1600-012","PT"
"0012400000yCbnbAAC","508123585","MIND SOURCE - CONSULTORES DE PORTUGAL, S.A.","RUA BRAAMCAMP, 9 7º","LISBOA","1250-048","PT"
"0012400000w17ovAAA","502159960","AEMI - ACESSÓRIOS, EQUIPAMENTOS E MOBILIÁRIO DE INFORMÁTICA, LDA","RUA REINALDO FERREIRA, 29C","LISBOA","1700-322","PT"
"0012400000w2TSYAA2","503258601","ELO - SISTEMAS DE INFORMAÇÃO, LDA","VIA JOSÉ RÉGIO, 302, CENTRO EMPRESARIAL DE VILAR PINHEIRO - ESTRADA NACIONAL 13","VILAR DO PINHEIRO","4485-860","PT"
"0012400000ssp5sAAA","501403809","MARTINS & PEREIRA, LDA","ESTRADA NACIONAL 235, 31","MAMODEIRO","3810-728","PT"
"0012400000stEkcAAE","501752021","PAVITO - IMPORTAÇÃO E EXPORTAÇÃO, UNIPESSOAL, LDA","ESTRADA NACIONAL 125, LOTE 37 - URBANIZAÇÃO INDUSTRIAL DA MARATECA","LAGOS","8600-314","PT"
"0012400000stEmSAAU","502395990","TELEONDA - SOCIEDADE DE EQUIPAMENTOS DE INFORMÁTICA E TELECOMUNICAÇÕES, LDA","RUA DO ALPORTEL, 136A, SE","FARO","8000-291","PT"
"0012400000stFEiAAM","502362243","EF - TECNOLOGIAS SOFTWARE, S.A.","AVENIDA ANTÓNIO SERPA, 26 4ºDTO","LISBOA","1050-027","PT"
"0012400000st6RpAAI","501940030","LUMINAG - COMÉRCIO E INDÚSTRIA DE MATERIAL ELÉCTRICO, LDA","ESTRADA NACIONAL 333, 2079","PÓVOA DAS LACEIRAS","3750-722","PT"
"0012400000w2Tu4AAE","502669730","ETNAGA - CONSULTORES SISTEMAS DE INFORMAÇÃO, LDA","PRACETA DAS VÁRZEAS, 3","QUEIJAS","2790-445","PT"
"0012400000w2YpBAAU","502903597","TFV - SISTEMAS INFORMÁTICOS, S.A.","AVENIDA JOSÉ GOMES FERREIRA, 9 SALA 42 - EDIFÍCIO ATLAS I","MIRAFLORES","1495-139","PT"
"0012400000w2WRIAA2","503294705","DATAFITA - CONSULTORES, LDA","AVENIDA JOÃO DE BELAS, 57A - QUINTA DA FONTEIREIRA","BELAS","2605-203","PT"
"0012400000yDFiBAAW","509707637","GLOBALN UNIPESSOAL, LDA","RUA DE EUGÉNIO DE CASTRO, 280 ESCRITÓRIO 227","PORTO","4100-225","PT"
"0012400000stTkIAAU","502674911","D & C - SOFTWARE, LDA","RUA DO ESPIDO, 164C SALA 406","MAIA","4470-177","PT"
"0012400000yBJ71AAG","504793390","REAGRAF - REPRESENTAÇÕES GRÁFICAS, LDA","RUA CIDADE DE ERMESINDE, 200/202","ERMESINDE","4445-273","PT"
"0012400000w1bgdAAA","503673307","INNOVAGENCY - CONSULTORIA, TECNOLOGIA E COMUNICAÇÃO, S.A.","RUA CASTILHO, 14C 6º","LISBOA","1250-069","PT"
"0012400000w1D8lAAE","506256359","TAKE A BITE - SERVIÇOS INFORMATICOS E DIGITAIS, LDA","RUA VASCO DA GAMA, 18","LECEIA","2730-187","PT"
"0012400000w1DjiAAE","510070833","DECSKILL - TECNOLOGIAS DE INFORMAÇÃO, LDA","AVENIDA DUQUE DE LOULÉ, 123 SALA 6.3/6.4","LISBOA","1050-089","PT"
"0012400000xgSHBAA2","504905570","GASTÃO & SANTOS, LDA","ESTRADA NACIONAL 247, 69","ALTO FOZ","2525-001","PT"
"0012400000w2fdKAAQ","502814470","EUROCARSIL - COMÉRCIO, IMPORTAÇÃO, EXPORTAÇÃO, LDA","RUA DOUTOR FÉLIX ALVES PEREIRA, 16A/B","SINTRA","2710-716","PT"
"0012400000yBtkeAAC","506710734","FAST-INF - COMÉRCIO E ASSISTÊNCIA INFORMÁTICA, LDA","RUA 13 DE MAIO, 1194","CORTEGAÇA","3885-229","PT"
"0012400000yC1LTAA0","508845815","BPO CONSULTING, UNIPESSOAL, LDA","ESTRADA DA PENHA, EDIFÍCIO NINHO DE EMPRESAS","FARO","8005-139","PT"
"0012400000st6aXAAQ","502253177","LUMA - SERVIÇOS INFORMÁTICOS E COMUNICAÇÕES, S.A.","RUA ALFREDO DA SILVA, 8A 2º ESCRITÓRIO D","AMADORA","2610-016","PT"
"0012400000st6dYAAQ","502056517","LONGO PRAZO - CONSULTORES DE GESTÃO, S.A.","AVENIDA DAS FORÇAS ARMADAS, 125 10ºC","LISBOA","1600-079","PT"
"0012400000yBrEtAAK","504258702","SCANSYSTEM PORTUGAL - IMPORTAÇÃO E EXPORTAÇÃO DE EQUIPAMENTOS INFORMÁTICOS, LDA","RUA GREGÓRIO LOPES, LOTE 1523 LOJA 1","LISBOA","1400-195","PT"
"0012400000yBuVjAAK","504533363","EUROSISNERGIA DO NORTE - REPRESENTAÇÕES DE EQUIPAMENTOS ELECTRÓNICOS E ELECTRICOS, LDA","RUA ESTÊVÃO AMARANTE, 30 R/C DTO","RAMADA","2620-274","PT"
"0012400000ssq3QAAQ","501721070","LUSODISCO - COMÉRCIO DE MATERIAL DE INFORMÁTICA, LDA","RUA HERÓIS DE CHAIMITE, 39 R/C","ODIVELAS","2675-376","PT"
"0012400000stGdVAAU","510262287","ALIUSSOFT - CONSULTING SERVICES, LDA","AVENIDA DA REPÚBLICA, 120A - NOVA OEIRAS","OEIRAS","2780-158","PT"
"0012400000w1cedAAA","502627190","PEIXOTO & PEIXOTO, LDA","RUA DO FERRO, 399","LUFREI","4600-682","PT"
"0012400000w1ckxAAA","502868759","TECNIROLO - ENGENHARIA INDUSTRIAL, S.A.","URBANIZAÇÃO QUINTA DA MALIGUEIRA, LOTE 11 R/C - GÂNDARA DOS OLIVAIS","LEIRIA","2415-340","PT"
"0012400000w2nqJAAQ","503717193","NVC - AUTOMAÇÃO E COMUNICAÇÃO, LDA","LARGO DA CALDEIRA, 246","MONTIJO","2870-186","PT"
"0012400000w2fifAAA","503891797","CODEWARE - CONSULTORIA, DESENVOLVIMENTO E SOFTWARE, S.A.","AVENIDA DOS DEFENSORES DE CHAVES, 71B","LISBOA","1000-114","PT"
"0012400000w2lUYAAY","502971274","ZEFERINO & MENDONÇA, LDA","RUA PRIOR VASCONCELOS, 4-R/C","CASTELO BRANCO","6000-265","PT"
"0012400000w2wzkAAA","504010336","MSOFT - INFORMÁTICA E SERVIÇOS, LDA","RUA DA RASA, 943","VILA NOVA DE GAIA","4400-273","PT"
"0012400000w2YZqAAM","502887532","NAUCOM - EQUIPAMENTOS DE NAVEGAÇÃO E TELECOMUNICAÇÕES, LDA","ESTRADA DA CRUZ, 21B","LISBOA","1400-422","PT"
"0012400000ssnf6AAA","501544127","MICRODIGITAL - INVESTIGAÇÃO E DESENVOLVIMENTO DE SOFTWARE, LDA","RUA DE ANTÓNIO RODRIGUES DA ROCHA, 447","VILA NOVA DE GAIA","4400-025","PT"
"0012400000stGc3AAE","510329500","RUI ABREU ARAÚJO, UNIPESSOAL, LDA","RUA FERNANDO REIS MARQUES - LORDEMÃO","COIMBRA","3020-238","PT"
"0012400000yCOS8AAO","508867029","RPC INFORMÁTICA, LDA","RUA VASCO DA GAMA, LOJA 9C, INFANTADO","LOURES","2670-395","PT"
"0012400000stGGYAA2","502264543","I.F.H.I. - INSTALAÇÕES DE FLUÍDOS HOSPITALARES E INDUSTRIAIS, LDA","RUA LÚCIO DE AZEVEDO, 19A","LISBOA","1600-145","PT"
"0012400000w1MzAAAU","508679435","COOLSIS - SISTEMAS DE INFORMAÇÃO, LDA","RUA MANUEL FERREIRA DE ARAÚJO, 41 - LOMAR","BRAGA","4705-258","PT"
"0012400000w1OuzAAE","502800828","SANTA LUZIA - INFORMÁTICA, LDA","RUA DO PARAÍSO, 35","LISBOA","1100-396","PT"
"0012400000ssmkLAAQ","502039280","AUGUSTO DA CUNHA GOMES, LDA","AVENIDA DA LIBERDADE, 16","BRAGA","4715-037","PT"
"0012400000yC2tWAAS","504592173","SSDMI - SEXTA, SÁBADO, DOMINGO - MANUTENÇÃO E INSTALAÇÃO DE EQUIPAMENTO INFORMÁTICO, LDA","ZONA INDUSTRIAL DO ENTRONCAMENTO, LOTE I 1","ENTRONCAMENTO","2330-210","PT"
"0012400000yCE3WAAW","504890220","KOOLSITE - SOLUÇÕES INFORMÁTICAS, LDA","ALAMEDA DOS COMBATENTES DA GRANDE GUERRA, 247 SALA 409","CASCAIS","2750-416","PT"
"0012400000stRHTAA2","501941231","ESRI PORTUGAL - SISTEMAS DE INFORMAÇÃO GEOGRÁFICA, S.A.","RUA JULIETA FERRÃO, 10/10A","LISBOA","1600-131","PT"
"0012400000stRYsAAM","502468319","CULTURALIS BORGEAUD - EQUIPAMENTOS DE BIBLIOTECA, LDA","RUA FRANCISCO CANAS, 23 BLOCO 1 FRACÇÃO J - NÚCLEO EMPRESARIAL DE LOURES A/8","SANTO ANTÃO DO TOJAL","2660-500","PT"
"0012400000w1bqgAAA","503621773","TRANSCRÍTICA - SOLUÇÕES TECNOLÓGICAS, LDA","RUA DO CENTRO EMPRESARIAL, EDIFÍCIO 7 R/C LOJA 02 - BELOURA OFFICE PARK","LINHÓ","2710-693","PT"
"0012400000sso5lAAA","502231602","BRAGAFAX - MÁQUINAS DE ESCRITÓRIO, LDA","RUA CÓNEGO LUCIANO AFONSO DOS SANTOS, 33A/B","BRAGA","4700-371","PT"
"0012400000yCDSHAA4","507527852","DANIELA & LEONARDO - ELECTRÓNICA E INFORMÁTICA, LDA","AVENIDA ALFREDO BARROS, 66 R/C","BRAGA","4715-350","PT"
"0012400000w2ngPAAQ","503708160","M.S.MENDONÇA - EQUIPAMENTO E MATERIAL DE ESCRITORIO, LDA","RUA 31 DE JANEIRO, 65","GUARDA","6300-769","PT"
"0012400000w2xBfAAI","504019538","GRANDE SOFT - SISTEMAS INFORMÁTICOS, LDA","RUA ILHA DO CORVO, 10 LOJA","MARINHA GRANDE","2430-143","PT"
"0012400000w355nAAA","503022640","MODULA C - CONSULTADORIA E SOFTWARE, LDA","RUA DA LAMEIRA, 31 - GUALTAR","BRAGA","4710-093","PT"
"0012400000w366FAAQ","503519251","DEPROSIS - DESENVOLVIMENTO E PRODUÇÃO DE SISTEMAS, LDA","RUA JOSÉ BRANDÃO DE ALMEIDA, 3 S/C TRASEIRA, BAIRRO OURESSA","MEM MARTINS","2725-350","PT"
"0012400000yCEXsAAO","506329780","SATURNO.NET - SISTEMAS DE INFORMAÇÃO, LDA","RUA DR. ANTÓNIO PATRÍCIO GOUVEIA, LOJA 12E","OEIRAS","2780-185","PT"
"0012400000w21jsAAA","507177800","MICROCLEAN, ASSISTÊNCIA INFORMÁTICA, LDA","AVENIDA DA DINAMARCA, 109 2ºESQ","CASAL DE CAMBRA","2605-745","PT"
"0012400000w23QDAAY","507644948","VECTWEB - DESIGN E TECNOLOGIAS DE INFORMÁTICA, LDA","RUA DOM JOÃO V, 24 ESCRITÓRIO 1.03 - ESPAÇO AMOREIRAS CENTRO EMPRESARIAL","LISBOA","1250-091","PT"
"0012400000yCbC5AAK","505250373","FLUXOIBÉRIA - MOBILIÁRIO DE ESCRITÓRIO, LDA","ZONA INDUSTRIAL DO SOCORRO, LOTE 65","QUINCHÃES","4820-570","PT"
"0012400000w37MaAAI","504320882","MAXIGLOBAL - EQUIPAMENTOS E SERVIÇOS DE INFORMÁTICA, S.A.","RUA DE URTIGUEIRA, 562","CANELAS","4410-304","PT"
"0012400000w17RbAAI","501812644","DATACOMP - SISTEMAS DE INFORMÁTICA, S.A.","RUA SANCHES COELHO, 3 7ºESQ. - ENTRECAMPOS","LISBOA","1600-314","PT"
"0012400000w0fS6AAI","507709241","MOTOMETRIA, LDA","AVENIDA CENTRAL NORTE, 868","ESPINHO","4500-501","PT"
"0012400000stRAQAA2","501919767","CATERINGASSISTE - ASSISTÊNCIA TÉCNICA E EQUIPAMENTOS DE CATERING, S.A.","RUA QUINTA DO PINHEIRO, 4, PORTELA DE CARNAXIDE","CARNAXIDE","2794-059","PT"
"0012400000w18viAAA","502889250","MATINCONTAS - INFORMATICA E CONTABILIDADE DE MATOSINHOS, LDA","RUA ANTÓNIO CARREIRA, 121","SENHORA DA HORA","4460-234","PT"
"0012400000w2vQ3AAI","503965855","TELADE - ELECTRICIDADE E TELECOMUNICAÇÕES, LDA","ESTRADA DA RAINHA, 319 PAVILHÃO 8 LETRA H","SERZEDO","4410-030","PT"
"0012400000w2x39AAA","503235903","HHS HOST HOTEL SYSTEMS - CONSULTORIA, DESENVOLVIMENTO E COMERCIALIZAÇÃO DE SOLUÇÕES INFORMÁTICAS PARA HOTELARIA, LDA","RUA ANA MARIA BASTOS, 5 2º ESCRITÓRIO - EDIFÍCIO FONTE NOVA","TORRES VEDRAS","2560-306","PT"
"0012400000yAcvjAAC","504668862","GLOBALÁGUA, INSTRUMENTAÇÃO E CONTROLO DE ÁGUAS, LDA","RUA PÉ DE MOURO, ARMAZÉM 36 - CENTRO EMPRESARIAL LUSOWORLD II","LINHÓ","2710-335","PT"
"0012400000yAumoAAC","504707612","MAGICNET - SISTEMAS DE INFORMAÇÃO, LDA","ESTRADA NACIONAL 249-4, MULTI BUSINESS CENTER","ABÓBODA","2785-035","PT"
"0012400000yB4FGAA0","506508080","DIUSFRAMI PORTUGAL - ASSISTÊNCIA A EQUIPAMENTOS INFORMÁTICOS, LDA","RUA DOM ANTÓNIO CORREIA DE SÁ, 82 ARMAZÉM P - CENTRO EMPRESARIAL DO RAL 2","TERRUGEM","2709-503","PT"
"0012400000w18Z5AAI","502857692","REIC - INFORMATICA, LDA","RUA AFONSO DE ALBUQUERQUE, 10C","AMADORA","2700-014","PT"
"0012400000w1MJKAA2","508779294","IMPRUV - DESIGN & WEB INFORMATION TECHNOLOGY, LDA","ESTRADA NACIONAL 125, VISUALFORMA BUSSINESS CENTER, 1º","HORTA DAS FIGURAS","8005-145","PT"
"0012400000w21rmAAA","506176649","DUTEC - TECNOLOGIAS DE INFORMAÇÃO, LDA","PRAÇA ÁLVARO LOPES, 21","AMADORA","2700-046","PT"
"0012400000w1DlNAAU","510063896","AROUNDTI - TECNOLOGIAS DE INFORMAÇÃO, LDA","PRACETA DOM JOSÉ BARBOSA, 5B","AMADORA","2720-174","PT"
"0012400000yBoibAAC","504274686","CDNET - INFORMÁTICA E SERVIÇOS, LDA","QUINTA GUANITA, LOTE 2","BOBADELA","2695-074","PT"
"0012400000w1N8cAAE","506218651","SAFEWAY IBERICA - DISTRIBUIÇÕES DE INFORMATICA, LDA","SITIO LIMITES VALE FLORES - RANHOLAS","SINTRA","2710-690","PT"
"0012400000w313PAAQ","503448850","DESENHOCONTA - ENGENHARIA E EQUIPAMENTOS DE SEGURANÇA, LDA","RIBEIRA DO MOINHO, LOTE 3","RIBEIRA DO MOINHO","3350-101","PT"
"0012400000w2x7WAAQ","504017608","CRISTALFRIO - MAQUINAS E EQUIPAMENTOS PARA HOTELARIA, LDA","RUA 31 DE JANEIRO, 12","ALJUSTREL","7600-053","PT"
"0012400000stRkTAAU","502448369","ESTREMOZGEST - GESTÃO, ESTUDOS E FORMAÇÃO, LDA","LARGO DA REPÚBLICA, 38","ESTREMOZ","7100-505","PT"
"0012400000w2TeyAAE","506726290","EURITEX - ESPECIALISTAS EM TECNOLOGIAS DE INFORMAÇÃO, LDA","AVENIDA MIGUEL BOMBARDA, 117 1º","LISBOA","1050-164","PT"
"0012400000w2XoUAAU","503353426","MAISIS - INFORMATION SYSTEMS, LDA","RUA DOM MANUEL BARBUDA E VASCONCELOS, 60/64 - URBANIZAÇÃO GLICÍNIAS","AVEIRO","3810-498","PT"
"0012400000ssPpOAAU","501386297","ROMARIZ DA SILVA & CA., LDA","PASSEIO VIRTUDES, 8A/B","PORTO","4050-629","PT"
"0012400000ssqLUAAY","501749390","VERSUS - PROJECTOS, INFORMÁTICA E FORMAÇÃO, LDA","AVENIDA FONTES PEREIRA DE MELO, 35 14º - EDIFÍCIO AVIZ","LISBOA","1050-118","PT"
"0012400000sstcqAAA","502030844","THE PHONE HOUSE - COMÉRCIO E ALUGUER DE BENS E SERVIÇOS, S.A.","RUA DO ENTREPOSTO INDUSTRIAL, 3 2ºF/G - EDIFÍCIO TÚRIA - QUINTA GRANDE DE ALFRAGIDE","AMADORA","2610-135","PT"
"0012400000w2xpYAAQ","504076418","GMVIS SKYSOFT, S.A.","AVENIDA DOM JOÃO II, 43 7º - TORRE FERNÃO DE MAGALHÃES - PARQUE DAS NAÇÕES","LISBOA","1990-084","PT"
"0012400000yDEP2AAO","505692325","ARGON - COMPONENTES ELÉCTRICOS E ELECTRÓNICOS, LDA","RUA NOÉ PEREIRA, 473","FÂNZERES","4510-706","PT"
"0012400000ssD6sAAE","501629505","HCR - INFORMÁTICA E TRADUÇÕES, UNIPESSOAL, LDA","RUA DA ARRÁBIDA, 59 1º","LISBOA","1250-032","PT"
"0012400000ssCWOAA2","501589660","TENSÃO - COMÉRCIO E INDÚSTRIA DE MATERIAL ELÉCTRICO E MECÂNICO, LDA","QUINTA DA VARZINHA, LOTE 2 - TERRAS DO CRUZEIRO","SETÚBAL","2900-720","PT"
"0012400000yAiRCAA0","506188841","B-SIMPLE - SISTEMAS DE INFORMAÇÃO, LDA","AVENIDA FERNÃO DE MAGALHÃES, 1054","PORTO","4350-155","PT"
"0012400000stS7CAAU","502062312","BEIRAFILME - MATERIAL FOTOGRÁFICO E VÍDEO, LDA","RUA ENGENHEIRO ALBERTO CARDOSO VILHENA, 31, QUINTA DO LAGO","NELAS","3520-090","PT"
"0012400000st4JuAAI","507397215","OUTWARE - CONCEPÇÃO DE SISTEMAS INFORMÁTICOS, LDA","PRAÇA LATINO COELHO, 7A","VALE DE MILHAÇOS","2855-501","PT"
"0012400000yBTbNAAW","505314193","METACRIAÇÕES - DESENVOLVIMENTO E COMÉRCIO DE INFORMÁTICA, UNIPESSOAL, LDA","RUA ANTÓNIO NUNES SEQUEIRA, 16 3ºDTO.","AGUALVA-CACÉM","2735-054","PT"
"0012400000yB9sIAAS","506458806","HORALARME - COMÉRCIO DE SISTEMAS DE ALARMES, LDA","TRAVESSA DA GRAÇA, S/N","ÁRGEA","2350-151","PT"
"0012400000yBIYRAA4","509691722","INFORSILVA - SOLUÇÕES INFORMÁTICAS, LDA","RUA DO CURRAL, BLOCO C R/C LOJA C, EDIFÍCIO MIGUEL","FELGUEIRAS","4610-156","PT"
"0012400000yD0nJAAS","507246152","CLOSER - CONSULTORIA, LDA","AVENIDA ENGENHEIRO DUARTE PACHECO, TORRE 2 14ºC","LISBOA","1070-102","PT"
"0012400000w31GfAAI","504093258","PREVINAVE - PREVENÇÃO E SEGURANÇA NO TRABALHO, LDA","PARQUE VIALONGA, ARMAZÉM 51 - CASAL BUGALHA","VIALONGA","2625-607","PT"
"0012400000yCDWdAAO","505688220","SENSO COMUM - SERVIÇOS DE INFORMÁTICA E TELECOMUNICAÇÕES, LDA","AVENIDA DO DOUTOR LOURENÇO PEIXINHO, 87 4º ESQ.","AVEIRO","3800-165","PT"
"0012400000yCDvjAAG","504830490","WISITRON, LDA","RUA JOSÉ CARLOS ARY DOS SANTOS, EDIFÍCIO FTE - A-DAS-LEBRES","SANTO ANTÃO DO TOJAL","2660-173","PT"
"0012400000w2omsAAA","503729213","IMPLEXO - DIVISÃO DE INFORMÁTICA, LDA","RUA CASAL DA LIGEIRA, 20 ARMAZÉM 3, VILA VERDE","TERRUGEM","2705-830","PT"
"0012400000w2UFMAA2","502705558","COPIMAGEM - COMÉRCIO DE EQUIPAMENTO DE ESCRITÓRIO E ASSISTÊNCIA TÉCNICA, LDA","RUA ASCENSÃO GUIMARÃES, 25","FARO","8000-216","PT"
"0012400000yBTLSAA4","507869931","KNOWLEDGEWORKS - CONSULTORIA EM SISTEMAS DE INFORMAÇÃO, LDA","ESTRADA DO PAÇO DO LUMIAR, CAMPUS DO LUMIAR K1","LISBOA","1649-038","PT"
"0012400000w2v2UAAQ","503949574","SULSIS - SISTEMAS INFORMÁTICOS, LDA","AVENIDA EDUARDO MANSINHO, LOJA 19 A","TAVIRA","8800-301","PT"
"0012400000ssgxxAAA","503464392","PLANÉTICA - PROJECTOS E CONSTRUÇÕES, S.A.","AVENIDA DOM AFONSO HENRIQUES, EDIFÍCIO GALERIAS DA VILLA LOJA 1","ARRUDA DOS VINHOS","2630-232","PT"
"0012400000w1cY4AAI","503123471","DELVICON - VENDAS E ASSISTENCIA TECNICA E EQUIPAMENTOS DE ESCRITORIO, LDA","RUA ALMIRANTE GAGO COUTINHO, 93 C/V - PONTE DA BICA","RAMADA","2620-371","PT"
